pep	age	sex	region	income	married	children	car	save_act	current_act	mortgage
YES	24	FEMALE	TOWN	9465.21	NO	0	NO	NO	YES	NO
NO	25	FEMALE	RURAL	14505.30	NO	3	NO	YES	YES	NO
YES	35	FEMALE	RURAL	33028.30	NO	1	NO	YES	YES	NO
NO	32	FEMALE	TOWN	26325.30	YES	0	YES	NO	NO	NO
NO	22	MALE	INNER_CITY	7948.62	YES	1	NO	NO	NO	YES
NO	64	MALE	TOWN	48974.80	YES	0	YES	YES	YES	YES
NO	23	MALE	INNER_CITY	12823.70	YES	0	YES	YES	YES	NO
NO	44	FEMALE	RURAL	30488.70	YES	0	NO	YES	YES	NO
YES	34	MALE	TOWN	30870.80	YES	2	YES	YES	YES	YES
NO	36	MALE	SUBURBAN	28495.10	YES	0	NO	YES	YES	NO
YES	40	MALE	TOWN	36972.40	YES	1	NO	NO	YES	YES
NO	26	FEMALE	TOWN	20950.70	YES	0	NO	YES	YES	NO
NO	40	MALE	INNER_CITY	27417.60	YES	0	NO	YES	YES	YES
YES	36	FEMALE	TOWN	20799.00	YES	1	NO	YES	NO	YES
NO	48	FEMALE	INNER_CITY	18516.00	YES	2	YES	YES	YES	YES
NO	52	MALE	INNER_CITY	16977.30	YES	0	NO	NO	YES	NO
YES	32	MALE	TOWN	24027.60	NO	0	NO	YES	YES	NO
NO	23	FEMALE	INNER_CITY	7606.25	NO	3	YES	NO	NO	NO
NO	63	FEMALE	TOWN	43943.00	YES	0	YES	YES	YES	YES
NO	65	FEMALE	INNER_CITY	61554.60	YES	0	NO	YES	YES	NO
NO	47	MALE	TOWN	23337.20	YES	2	NO	YES	YES	YES
YES	46	FEMALE	TOWN	18912.20	YES	0	YES	NO	YES	NO
NO	55	MALE	RURAL	43499.50	YES	1	YES	YES	YES	NO
YES	29	MALE	INNER_CITY	14642.20	NO	0	YES	NO	YES	NO
YES	47	MALE	INNER_CITY	39010.80	YES	2	NO	NO	YES	NO
NO	20	MALE	TOWN	12644.90	YES	2	YES	NO	YES	YES
NO	67	FEMALE	INNER_CITY	43530.00	YES	0	NO	YES	YES	YES
NO	64	MALE	INNER_CITY	53104.30	YES	0	YES	YES	YES	NO
YES	48	MALE	SUBURBAN	29794.10	NO	1	NO	YES	YES	NO
NO	35	FEMALE	INNER_CITY	28598.70	YES	0	YES	YES	YES	NO
YES	27	FEMALE	RURAL	21350.30	NO	0	YES	YES	YES	NO
YES	63	MALE	SUBURBAN	48770.50	YES	1	YES	YES	NO	YES
NO	60	FEMALE	INNER_CITY	22053.20	YES	2	YES	YES	NO	YES
YES	35	FEMALE	TOWN	30799.50	YES	2	NO	NO	YES	NO
YES	40	MALE	INNER_CITY	36256.90	NO	0	NO	NO	YES	YES
NO	67	FEMALE	TOWN	23485.90	YES	3	YES	NO	NO	YES
NO	43	MALE	TOWN	22234.70	YES	0	NO	NO	YES	YES
NO	48	MALE	INNER_CITY	38598.40	YES	0	YES	NO	YES	NO
NO	49	MALE	INNER_CITY	15689.10	NO	0	NO	NO	YES	NO
YES	63	MALE	SUBURBAN	51879.30	YES	2	YES	YES	NO	YES
NO	42	MALE	TOWN	22495.70	YES	0	NO	YES	NO	YES
NO	39	FEMALE	INNER_CITY	27765.80	YES	3	YES	YES	NO	NO
NO	44	MALE	RURAL	32762.50	NO	0	NO	YES	YES	YES
NO	27	MALE	RURAL	20058.70	YES	0	NO	YES	YES	YES
NO	51	FEMALE	INNER_CITY	37094.20	YES	0	YES	NO	YES	NO
YES	63	MALE	INNER_CITY	36086.10	YES	2	NO	NO	YES	NO
YES	49	MALE	INNER_CITY	41438.00	NO	1	NO	YES	NO	NO
YES	34	FEMALE	SUBURBAN	12810.20	NO	3	NO	YES	YES	NO
YES	38	FEMALE	RURAL	34061.40	NO	0	YES	YES	YES	NO
NO	52	FEMALE	INNER_CITY	28413.80	YES	0	NO	NO	YES	NO
NO	54	FEMALE	TOWN	18036.70	YES	0	YES	YES	NO	NO
YES	43	MALE	TOWN	36432.80	NO	2	YES	NO	YES	NO
NO	46	FEMALE	TOWN	21984.40	NO	3	NO	YES	NO	NO
NO	32	FEMALE	TOWN	30404.30	YES	0	YES	YES	YES	NO
YES	63	MALE	INNER_CITY	52117.30	NO	2	YES	YES	YES	NO
YES	58	FEMALE	TOWN	52662.50	YES	1	YES	YES	YES	YES
NO	40	FEMALE	INNER_CITY	24904.00	YES	0	NO	NO	NO	NO
YES	45	FEMALE	TOWN	37689.10	NO	1	NO	YES	YES	YES
NO	20	FEMALE	INNER_CITY	14048.90	YES	2	YES	NO	YES	YES
YES	27	FEMALE	INNER_CITY	18158.50	NO	1	YES	NO	YES	YES
YES	52	MALE	INNER_CITY	48720.30	YES	2	YES	YES	YES	NO
NO	37	FEMALE	TOWN	29574.00	YES	0	YES	YES	YES	NO
NO	38	FEMALE	TOWN	21495.60	NO	3	NO	NO	YES	YES
YES	31	MALE	SUBURBAN	14058.50	YES	0	NO	NO	YES	YES
NO	54	FEMALE	INNER_CITY	47796.80	YES	0	NO	YES	YES	NO
NO	46	MALE	RURAL	29525.50	NO	2	NO	YES	NO	YES
NO	27	FEMALE	TOWN	14014.50	YES	3	NO	YES	NO	NO
YES	58	FEMALE	TOWN	33204.30	NO	1	NO	NO	NO	YES
NO	36	FEMALE	TOWN	26920.80	YES	0	NO	NO	YES	NO
YES	57	MALE	RURAL	49874.40	YES	3	NO	YES	YES	NO
NO	19	FEMALE	INNER_CITY	17371.10	YES	2	YES	YES	YES	NO
NO	32	FEMALE	TOWN	13267.60	YES	0	YES	YES	YES	YES
NO	66	FEMALE	INNER_CITY	45189.80	YES	0	NO	YES	NO	NO
NO	48	FEMALE	INNER_CITY	42603.90	YES	0	NO	YES	YES	NO
NO	25	MALE	INNER_CITY	23818.60	YES	0	NO	NO	NO	NO
NO	25	MALE	TOWN	9485.84	YES	0	NO	NO	NO	NO
NO	49	FEMALE	SUBURBAN	39358.30	YES	0	YES	NO	NO	YES
NO	32	FEMALE	TOWN	27571.50	YES	0	YES	NO	YES	YES
NO	23	MALE	INNER_CITY	13039.90	YES	0	NO	NO	YES	NO
YES	44	MALE	SUBURBAN	23092.10	YES	0	YES	NO	YES	YES
YES	21	FEMALE	RURAL	15797.10	YES	0	NO	YES	YES	NO
NO	64	FEMALE	SUBURBAN	36436.40	YES	0	YES	NO	YES	NO
YES	44	MALE	INNER_CITY	38459.90	YES	0	NO	NO	NO	YES
NO	20	MALE	INNER_CITY	13740.00	NO	2	YES	YES	YES	YES
NO	56	MALE	INNER_CITY	34020.50	YES	0	NO	NO	YES	NO
NO	42	MALE	INNER_CITY	17390.10	YES	0	NO	YES	YES	NO
NO	43	FEMALE	INNER_CITY	39175.80	YES	3	NO	YES	YES	YES
YES	36	MALE	INNER_CITY	31683.10	YES	1	YES	YES	YES	NO
YES	67	MALE	INNER_CITY	35263.50	YES	1	YES	YES	YES	NO
YES	20	FEMALE	INNER_CITY	18275.50	YES	0	NO	NO	NO	YES
YES	39	MALE	INNER_CITY	34852.30	YES	1	NO	YES	NO	YES
YES	44	FEMALE	TOWN	15315.30	YES	1	NO	YES	YES	NO
